index,Drug_Name,Reason,Description,Side_Effects
7804,Axtra Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Diarrhea, Rash, Dry mouth"
7805,Axyclo SR Plus Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Nausea, Diarrhea, Drowsiness"
7806,Aztamol A Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Diarrhea, Fatigue, Dizziness"
7807,Bakflex Plus Tablet 10'S,Pain,pre-immunization reactions,"Diarrhea, Stomach pain, Drowsiness"
7808,Baralgan M 200mg Tablet 10'SBaralgan M 500mg Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Nausea, Drowsiness, Stomach pain"
7809,Beap Tablet 10'SBeap 1.16% Gel 30gm,Pain,"conditions, where patient is unable to take oral medications","Vomiting, Stomach pain, Diarrhea"
7810,Benzonac Gel 15gm,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Fatigue, Vomiting, Stomach pain"
7811,Bestnac 1% Gel 30gm,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Stomach pain, Fatigue, Dry mouth"
7812,Bestofen 400/325mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Fatigue, Headache"
7813,Bestogesic 100/500mg Tablet 10'SBestogesic 1.16% Gel 30gmBestogesic Liniment 50ml,Pain,pre-immunization reactions,"Rash, Nausea, Fatigue"
7814,Bestogesic Plus Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Diarrhea, Fatigue, Nausea"
7815,Bestophen I 400/325mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Fatigue, Headache, Rash"
7816,BETAMINE FORTE Tablet 10's,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Rash, Stomach pain, Drowsiness"
7817,Betarest 50mg Tablet 10'S,Pain,pre-immunization reactions,"Diarrhea, Dry mouth, Vomiting"
7818,Actibull Suspension 60ml,Pain,"post-operative fever, after tonsillectomy","Dry mouth, Diarrhea, Dizziness"
7819,Bextrin Capsule 10'S,Pain,"conditions, where patient is unable to take oral medications","Headache, Diarrhea, Drowsiness"
7820,BEXTRIN TOTAL Capsule 10's,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Diarrhea, Dry mouth, Nausea"
7821,Bidanzen 5mg Tablet 10'SBidanzen 10mg Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Headache, Rash, Nausea"
7822,Bidanzen Forte 10mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Rash, Stomach pain, Diarrhea"
7823,Bidnac Tablet 10'SBidnac 1% Gel(Topical) 30gm,Pain,pre-immunization reactions,"Nausea, Vomiting, Rash"
7824,BIO Viseon 14mg Injection 0.55ml,Pain,"post-operative fever, after tonsillectomy","Dry mouth, Nausea, Rash"
7825,Biodase D Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Fatigue, Diarrhea, Rash"
7826,Biodic Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Diarrhea, Headache"
7827,Biogesic 50mg Suspension 60mlBiogesic 100mg Tablet 10'S,Pain,pre-immunization reactions,"Headache, Rash, Vomiting"
7828,Bionim Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Headache, Rash, Dry mouth"
7829,BIORAN Gel 15gmBioran Gel 30gm,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Fatigue, Dry mouth"
7830,BIORAN PLUS Tablet 10's,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Fatigue, Diarrhea, Vomiting"
7831,BIORAN RAPID 50mg Tablet 10's,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Headache, Nausea, Drowsiness"
7832,Biospas Forte Tablet 10'S,Pain,pre-immunization reactions,"Stomach pain, Rash, Dry mouth"
7833,Biosuganril 10mg Tablet 10'SBiosuganril 5mg Tablet 10'SBiosuganril 20mg Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Stomach pain, Fatigue, Headache"
7834,Biosuganril TM 10mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Headache, Dry mouth, Drowsiness"
7835,Biozobid 100mg Tablet 10'SBiozobid Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Drowsiness, Rash, Dry mouth"
7836,Biozobid Plus Tablet 10'S,Pain,pre-immunization reactions,"Drowsiness, Stomach pain, Nausea"
7837,BIXORI 90mg Tablet 10's,Pain,"post-operative fever, after tonsillectomy","Drowsiness, Nausea, Fatigue"
7838,BIXORI MR Tablet 10's,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Dizziness, Drowsiness"
7839,BLUDEC K 75mg Injection 2mlBLUDEC K Tablet 10's,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Headache, Diarrhea, Rash"
7840,BLUDEC SP Tablet 10's,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Rash, Dry mouth, Diarrhea"
7841,BLUDEC SR 600mg Tablet 10's,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Stomach pain, Drowsiness, Vomiting"
7842,Bolan Tablet 10'S,Pain,pre-immunization reactions,"Nausea, Fatigue, Dizziness"
7843,Boss Tablet 8'S,Pain,"post-operative fever, after tonsillectomy","Dizziness, Nausea, Fatigue"
7844,Bral Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Dizziness, Diarrhea, Drowsiness"
7845,Brexic 40mg Injection 2ml,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Stomach pain, Vomiting, Dry mouth"
7846,Brexic DT 20mg Tablet 10'S,Pain,pre-immunization reactions,"Dry mouth, Diarrhea, Rash"
7847,Bromica Eye Drops 5ml,Pain,"post-operative fever, after tonsillectomy","Stomach pain, Dry mouth, Drowsiness"
7848,Bruace Suspension 60mlBruace 400/325mg Tablet 10'SBruace Suspension 450ml,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Vomiting, Rash"
7849,Bruceta Suspension 60ml,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Nausea, Stomach pain, Rash"
7850,Bruceta Forte Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Rash, Dizziness, Vomiting"
7851,Brufamol Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Drowsiness, Dizziness"
7852,Brufamol Kid Tablet 10'S,Pain,pre-immunization reactions,"Nausea, Dry mouth, Rash"
7853,Brufamol Plus Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Diarrhea, Rash, Vomiting"
7854,Brufen 200mg Tablet 15'SBrufen 600mg Tablet 15'SBrufen 400mg Tablet 15'S,Pain,"conditions, where patient is unable to take oral medications","Dry mouth, Rash, Drowsiness"
7855,Brufen Junior Oral 100mg Suspension 60ml,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Headache, Stomach pain, Fatigue"
7856,Brufen Softra 400mg Tablet 10'S,Pain,pre-immunization reactions,"Vomiting, Nausea, Fatigue"
7857,Brufit OD Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Rash, Dizziness, Vomiting"
7858,Brugel Gel 30gm,Pain,"conditions, where patient is unable to take oral medications","Dizziness, Rash, Vomiting"
7859,Brugesicp 400/325mg Tablet 10'SBrugesicp 100/125mg Syrup 60ml,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Stomach pain, Nausea, Dry mouth"
7860,Brupal Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Nausea, Rash, Dizziness"
7861,Brupal Forte Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Headache, Dizziness, Nausea"
7862,Brupal Kid Tablet 10'S,Pain,pre-immunization reactions,"Drowsiness, Nausea, Diarrhea"
7863,Bruspaz 8mg Capsule 10'SBruspaz 4mg Capsule 10'S,Pain,"post-operative fever, after tonsillectomy","Dizziness, Vomiting, Diarrhea"
7864,Brustan Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Dizziness, Fatigue, Rash"
7865,Brutaflam 90mg Tablet 10'SBrutaflam 120mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Rash, Headache, Dry mouth"
7866,Brutaflam MR 4mg Tablet 10'S,Pain,pre-immunization reactions,"Diarrhea, Drowsiness, Rash"
7867,Brutaflam Plus Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Rash, Diarrhea, Drowsiness"
7868,Brutek 200mg Tablet 10'SBrutek 400mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Drowsiness, Vomiting, Dry mouth"
7869,Brutek P Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Stomach pain, Fatigue, Vomiting"
7870,BTR D Tablet 10'SBTR Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Nausea, Drowsiness, Diarrhea"
7871,Bunogesic 0.3mg Injection 1mlBunogesic 0.3mg Injection 2ml,Pain,pre-immunization reactions,"Fatigue, Stomach pain, Dizziness"
7872,Buprigesic Injection 10mlBuprigesic Injection 1mlBuprigesic Injection 2ml,Pain,"post-operative fever, after tonsillectomy","Stomach pain, Diarrhea, Dizziness"
7873,Buprinor Injection 2ml,Pain,"conditions, where patient is unable to take oral medications","Rash, Headache, Nausea"
7874,Buscogast Plus Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Stomach pain, Fatigue, Diarrhea"
7875,Buta Proxyvon Gel 30gm,Pain,pre-immunization reactions,"Headache, Stomach pain, Vomiting"
7876,Buta Proxyvon SP Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Nausea, Fatigue, Stomach pain"
7877,Butacortindon 50/325mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Stomach pain, Dizziness, Rash"
7878,Butaproxyvon 50/500mg Capsule 8'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Dry mouth, Rash, Vomiting"
7879,Butodol 1mg Injection 1mlButodol 2mg Injection 1ml,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Diarrhea, Dry mouth, Nausea"
7880,Butrum 1mg Injection 1mlButrum 2mg Injection 1mlButrum 2mg Injection 5mlBUTRUM 1mg Injection 5x1ml,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Rash, Nausea, Stomach pain"
7881,Buvalor 5mg Patch 2'SBuvalor 10mg Patch 2'SBuvalor 20mg Patch 2'S,Pain,pre-immunization reactions,"Drowsiness, Dry mouth, Dizziness"
7882,C P Mol Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Drowsiness, Diarrhea, Fatigue"
7883,CADIFLUR Eye Drops 5ml,Pain,"conditions, where patient is unable to take oral medications","Dry mouth, Stomach pain, Vomiting"
7884,Cadolac 10mg Tablet 10'SCadolac Injection 1ml,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Rash, Stomach pain"
7885,Cadpar 120mg Suspension 60ml,Pain,pre-immunization reactions,"Headache, Drowsiness, Nausea"
7886,Cafipar Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Drowsiness, Nausea, Stomach pain"
7887,Calpol T Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Dizziness, Rash"
7888,Calpol T 325/37.5mg Tablet 15'SCalpol T 325/37.5mg Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Headache, Vomiting, Stomach pain"
7889,Camri 4mg Tablet 10'SCamri 8mg Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Fatigue, Dizziness, Nausea"
7890,Camri Plus 8/500mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Fatigue, Dizziness"
7891,Camter 8mg Tablet 10'S,Pain,pre-immunization reactions,"Fatigue, Dizziness, Dry mouth"
7892,Camter Plus Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Dizziness, Diarrhea, Fatigue"
7893,Camyfyl Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Rash, Dry mouth, Nausea"
7894,CANACE P Tablet 10's,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Drowsiness, Stomach pain, Headache"
7895,Canace SP Tablet 10'S,Pain,pre-immunization reactions,"Dry mouth, Drowsiness, Headache"
7896,CANACE TH4 Tablet 10's,Pain,"post-operative fever, after tonsillectomy","Nausea, Rash, Stomach pain"
7897,CANACE TH8 Tablet 10's,Pain,"conditions, where patient is unable to take oral medications","Headache, Dry mouth, Drowsiness"
7898,Canefo Plus Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Dry mouth, Nausea, Rash"
7899,Capex Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Rash, Dry mouth, Stomach pain"
7900,Capsigyl D Gel 30gm,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Rash, Vomiting"
7901,Capsitop Gel 30gm,Pain,pre-immunization reactions,"Dizziness, Drowsiness, Vomiting"
7902,Capsitop O Roll ON Gel 50gm,Pain,"post-operative fever, after tonsillectomy","Dizziness, Drowsiness, Dry mouth"
7903,Care Cain 0.50% Eye Drops 5ml,Pain,"conditions, where patient is unable to take oral medications","Dizziness, Diarrhea, Fatigue"
7904,Carisoma Compound Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Rash, Fatigue"
7905,Cartilox Powder 1'S,Pain,pre-immunization reactions,"Dry mouth, Nausea, Headache"
7906,Caslide P Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Dry mouth, Dizziness, Diarrhea"
7907,Cataspa Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Dry mouth, Stomach pain, Fatigue"
7908,Caybutyl Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Dizziness, Headache, Stomach pain"
7909,CE 200mg Capsule 10'SCE 100mg Capsule 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Dizziness, Stomach pain, Vomiting"
7910,Ceclocon P Tablet 10'S,Pain,pre-immunization reactions,"Diarrhea, Nausea, Fatigue"
7911,Cecloconp 100/500 Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Drowsiness, Headache, Dry mouth"
7912,Celact MD 200mg Tablet 10Celact 100mg Capsule 10Celact 200mg Capsule 10,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Headache, Dry mouth"
7913,CELECAP 100mg Capsule 10's,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Drowsiness, Dizziness"
7914,Celedol 200mg Tablet 10'SCeledol 100mg Tablet 10'S,Pain,pre-immunization reactions,"Fatigue, Vomiting, Stomach pain"
7915,Celeract Tablet 30'S,Pain,"post-operative fever, after tonsillectomy","Dry mouth, Fatigue, Drowsiness"
7916,Celetop 100mg Capsule 10'S,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Vomiting, Dizziness"
7917,Celfast 100/500mg Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Vomiting, Rash, Stomach pain"
7918,Celfast Plus Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Fatigue, Rash, Drowsiness"
7919,Celonac Plus Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Fatigue, Diarrhea, Stomach pain"
7920,Centamol Drops 15ml,Pain,pre-immunization reactions,"Dizziness, Stomach pain, Drowsiness"
7921,Centradol 50mg Injection 2mlCentradol 100mg Injection 2ml,Pain,"post-operative fever, after tonsillectomy","Diarrhea, Fatigue, Vomiting"
7922,Ceprol 600mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Drowsiness, Vomiting, Diarrhea"
7923,Cetral Kold Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Headache, Dizziness, Diarrhea"
7924,CEZE FORTE Tablet 10's,Pain,pre-immunization reactions,"Dry mouth, Rash, Vomiting"
7925,Chirase D Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Fatigue, Vomiting, Drowsiness"
7926,Chronac Plus Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Vomiting, Stomach pain"
7927,Chropaxe Tablet 30'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Rash, Dry mouth, Stomach pain"
7928,CHYMAZE Tablet 10's,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Stomach pain, Fatigue, Vomiting"
7929,Chymocad Tablet 10'SChymocad Forte Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Vomiting, Diarrhea, Dry mouth"
7930,Chymocip Tablet 20'S,Pain,pre-immunization reactions,"Headache, Dry mouth, Nausea"
7931,CHYMOGRAND Tablet 10's,Pain,"post-operative fever, after tonsillectomy","Headache, Dry mouth, Rash"
7932,Chymokem Forte Tablet 20'S,Pain,"conditions, where patient is unable to take oral medications","Headache, Dizziness, Fatigue"
7933,Chymonac TC Tablet 10'SChymonac MR Tablet 10'SChymonac Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Drowsiness, Dry mouth"
7934,Chymonac Forte Tablet 20'S,Pain,pre-immunization reactions,"Fatigue, Vomiting, Stomach pain"
7935,Chymonet AP Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Dizziness, Dry mouth, Vomiting"
7936,Chymonet Forte Tablet 20'S,Pain,"conditions, where patient is unable to take oral medications","Dry mouth, Drowsiness, Stomach pain"
7937,Chymoral Tablet 30'SChymoral BR Tablet 10'SChymoral Tablet 10'SChymoral Forte Tablet 20'SChymoral Forte DS Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Stomach pain, Diarrhea, Fatigue"
7938,Chymoral AP Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Rash, Stomach pain, Diarrhea"
7939,Chymoral Plus Tablet 15'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Rash, Diarrhea"
7940,Chymotas Forte Tablet 20'S,Pain,pre-immunization reactions,"Stomach pain, Diarrhea, Dry mouth"
7941,Chymothal Forte Tablet 20'S,Pain,"post-operative fever, after tonsillectomy","Vomiting, Diarrhea, Fatigue"
7942,Chymothal Plus Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Dry mouth, Rash, Dizziness"
7943,Chymotrip Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Fatigue, Stomach pain, Nausea"
7944,Chymtral Forte 100000Au Tablet 20'S,Pain,pre-immunization reactions,"Nausea, Drowsiness, Diarrhea"
7945,Chytrozym Tablet 20'S,Pain,"post-operative fever, after tonsillectomy","Drowsiness, Diarrhea, Nausea"
7946,Cipflam Tablet 15'S,Pain,"conditions, where patient is unable to take oral medications","Dizziness, Nausea, Stomach pain"
7947,Ciplase 5mg Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Drowsiness, Vomiting, Dry mouth"
7948,Ciplase Forte Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Dizziness, Drowsiness, Rash"
7949,Cipzen 10mg Tablet 10'SCipzen 5mg Tablet 10'S,Pain,pre-immunization reactions,"Dizziness, Nausea, Diarrhea"
7950,Cipzen D Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Vomiting, Drowsiness, Stomach pain"
7951,Cipzen D Plus Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Fatigue, Nausea, Drowsiness"
7952,Clofen 1.16% Ointment 30gmClofen 50mg Tablet 10'SClofen 25mg Injection 3ml,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Vomiting, Headache, Fatigue"
7953,Clofen P Tablet 10'S,Pain,pre-immunization reactions,"Dry mouth, Dizziness, Vomiting"
7954,CLOMOL Gel 30gm,Pain,"post-operative fever, after tonsillectomy","Vomiting, Nausea, Stomach pain"
7955,Clopaser Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Vomiting, Headache, Rash"
7956,Clotan Capsule 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Nausea, Dry mouth, Fatigue"
7957,Cobix 100mg Capsule 10'SCobix 200mg Capsule 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Nausea, Rash, Dry mouth"
7958,Codeine Sulphate Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Drowsiness, Vomiting, Headache"
7959,Codeine Phosphate Linctus 60ml,Pain,pre-immunization reactions,"Nausea, Fatigue, Rash"
7960,Coderan Tablet 6'S,Pain,"post-operative fever, after tonsillectomy","Headache, Nausea, Stomach pain"
7961,Codifos Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Headache, Dizziness, Rash"
7962,Codin 30 Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Rash, Dizziness, Diarrhea"
7963,Codine Tablet 10'S,Pain,pre-immunization reactions,"Drowsiness, Fatigue, Vomiting"
7964,Codomolindon 500/10mg Tablet 10'SCodomolindon Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Dry mouth, Stomach pain, Rash"
7965,Coeringa Syrup 175mlCoeringa Capsule 10'S,Pain,"conditions, where patient is unable to take oral medications","Drowsiness, Stomach pain, Rash"
7966,Coevitenz H Capsule 10'SCoevitenz Capsule 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Dry mouth, Drowsiness, Dizziness"
7967,Coevitenz D Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Stomach pain, Diarrhea, Headache"
7968,Cofenac 50/325mg Tablet 10'SCofenac Gel 10gmCofenac 100 SR Tablet 15'SCofenac 50/500mg Tablet 10'SCofenac Gel 20gmCofenac 1% Gel 30gmCofenac Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Fatigue, Dizziness, Rash"
7969,Cofenac MR 50/325/250mg Tablet 10'S,Pain,pre-immunization reactions,"Rash, Dizziness, Dry mouth"
7970,Cofenac Plus Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Fatigue, Diarrhea, Headache"
7971,Colcibra 100mg Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Diarrhea, Drowsiness, Rash"
7972,Colcine AP Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Stomach pain, Drowsiness"
7973,Coldarest Tablet 10'S,Pain,pre-immunization reactions,"Rash, Dizziness, Diarrhea"
7974,Coleth S Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Dizziness, Vomiting, Rash"
7975,Coleth SP Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Drowsiness, Headache, Nausea"
7976,Colik Injection 2mlColik Tablet 10's,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Vomiting, Diarrhea, Dry mouth"
7977,Combac P Tablet 10'S,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Rash, Diarrhea, Drowsiness"
7978,Combiflam 400/325mg Tablet 30'SCombiflam 400/325mg Tablet 15'SCombiflam Paediatric Suspension 60mlCombiflam Syrup 60mlCombiflam Cream 15gmCombiflam Tablet 20'SCombiflam Cream 30gmCombiflam 400/325mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Nausea, Headache, Vomiting"
7979,Combiflam Icyhot Gel(Topical) 30gm,Pain,pre-immunization reactions,"Diarrhea, Nausea, Stomach pain"
7980,Combiflam MS Cream 30gm,Pain,"post-operative fever, after tonsillectomy","Diarrhea, Vomiting, Dry mouth"
7981,Combiflam Paediatric Suspension 100ml,Pain,"conditions, where patient is unable to take oral medications","Drowsiness, Vomiting, Diarrhea"
7982,Combiflam Plus Tablet 8'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dizziness, Vomiting, Diarrhea"
7983,Combihext Tablet 10'S,Pain,pre-immunization reactions,"Nausea, Fatigue, Dry mouth"
7984,Combinam 400/325mg Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Fatigue, Dizziness, Rash"
7985,Combipara Tablet 10'S,Pain,"conditions, where patient is unable to take oral medications","Nausea, Vomiting, Headache"
7986,Combipara T 8mg Tablet 10'S,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Rash, Fatigue, Diarrhea"
7987,Combipat Eye Drops 5ml,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Dizziness, Stomach pain, Vomiting"
7988,Combipunch 100/5 Tablet 10'S,Pain,pre-immunization reactions,"Stomach pain, Vomiting, Headache"
7989,Contragesic Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Headache, Vomiting, Nausea"
7990,Contramal 100mg Injection 2mlContramal 50mg Injection 1mlContramal DT 50mg Tablet 10'SContramal SR 100mg Tablet 10'SContramal 50mg Capsule 10'S,Pain,"conditions, where patient is unable to take oral medications","Nausea, Diarrhea, Vomiting"
7991,Cortimax 18mg Tablet 6'SCortimax 1mg Tablet 6'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Dry mouth, Headache, Diarrhea"
7992,Cortinac P Tablet 10'S,Pain,pre-immunization reactions,"Dizziness, Vomiting, Stomach pain"
7993,Corvestin 500mg Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Vomiting, Nausea, Stomach pain"
7994,Cosklot MF Tablet 6'S,Pain,"conditions, where patient is unable to take oral medications","Stomach pain, Headache, Drowsiness"
7995,COVALENT Tablet 10's,Pain,"used in the prevention of febrile convulsion, headache, cold, sinusitis, muscle pain, arthritis and toothache","Fatigue, Nausea, Dry mouth"
7996,COVALENT PLUS Tablet 10's,Pain,short-term treatment of moderate pain after dental surgeryÂ in people 16 years ofÂ age and older,"Fatigue, Headache, Vomiting"
7997,Coxib 90mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Fatigue, Dry mouth, Vomiting"
7998,Coxilor P Tablet 10'S,Pain,pre-immunization reactions,"Drowsiness, Headache, Stomach pain"
7999,Coxser D Tablet 10'S,Pain,"post-operative fever, after tonsillectomy","Rash, Dry mouth, Vomiting"
8000,COZEE 90mg Tablet 10's,Pain,"conditions, where patient is unable to take oral medications","Fatigue, Rash, Drowsiness"
8001,Creval 40mg Tablet 10'S,Pain,"fever, pain, tonsilitis, upper respiratory tract infection,","Drowsiness, Stomach pain, Nausea"
8002,CREVAL B 40mg Tablet 10'sCREVAL B 20mg Tablet 10's,Pain,pre-immunization reactions,"Dry mouth, Drowsiness, Diarrhea"
